"SPECIES: common name","South African clawed frog"
"SPECIES: Latin  name","Xenopus laevis"
"RETINAL CELL TYPE NAME: as published","alpha-a (orthotopic)"
"OTHER MOSAICS in same sampling field","alpha-a (displaced), alpha-ab, alpha-c"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Cook (1997) Vis Neurosci 14:811-826"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7A (open triangles)"
"RETINAL LOCATION of sampling field","right eye, almost complete"
"NUMBER OF CELLS",123
"AREA OF SAMPLED FIELD (sq mm)",16.15
"TOTAL RETINAL AREA (sq mm)",17.0
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 for NND/DRP analysis data"
"X","Y"
 4501 , 9583 
 4067 , 9261 
 3317 , 9228 
 2327 , 8954 
 4355 , 8860 
 2857 , 8853 
 6172 , 8819 
 3779 , 8772 
 5746 , 8732 
 4320 , 8651 
 2457 , 8616 
 2725 , 8568 
 5886 , 8539 
 4881 , 8532 
 3312 , 8483 
 3774 , 8454 
 6152 , 8450 
 3986 , 8412 
 5374 , 8259 
 2829 , 8257 
 5788 , 8208 
 3297 , 8200 
 3921 , 8136 
 3529 , 8120 
 5548 , 8110 
 6341 , 8098 
 4576 , 8094 
 3998 , 8094 
 2786 , 7962 
 5940 , 7930 
 4051 , 7879 
 2153 , 7857 
 3326 , 7843 
 3525 , 7842 
 6320 , 7838 
 1436 , 7837 
 2999 , 7828 
 3866 , 7740 
 2393 , 7702 
 1759 , 7702 
 5842 , 7691 
 2552 , 7629 
 6707 , 7627 
 4234 , 7582 
 6936 , 7580 
 4511 , 7565 
 2109 , 7534 
 2844 , 7524 
 1804 , 7513 
 5387 , 7470 
 3081 , 7447 
 5190 , 7437 
 6925 , 7436 
 2693 , 7404 
 4356 , 7376 
 1421 , 7363 
 3365 , 7362 
 1212 , 7359 
 4624 , 7338 
 1902 , 7321 
 6245 , 7287 
 5081 , 7263 
 2957 , 7205 
 3342 , 7114 
 2068 , 7061 
 4741 , 7049 
 4250 , 7019 
 2455 , 6974 
 879 , 6973 
 2349 , 6944 
 2032 , 6910 
 3041 , 6880 
 2833 , 6851 
 3564 , 6814 
 5097 , 6802 
 1150 , 6762 
 4301 , 6720 
 3518 , 6686 
 5324 , 6674 
 3877 , 6609 
 2727 , 6592 
 4454 , 6578 
 1693 , 6498 
 1349 , 6483 
 5085 , 6411 
 4424 , 6407 
 3156 , 6370 
 2274 , 6360 
 2022 , 6347 
 1189 , 6336 
 5741 , 6326 
 1388 , 6232 
 3435 , 6207 
 4027 , 6145 
 2908 , 6140 
 5125 , 6100 
 3705 , 6077 
 3249 , 6073 
 2866 , 6056 
 4329 , 6037 
 5566 , 5986 
 4699 , 5960 
 3609 , 5840 
 2580 , 5770 
 4805 , 5523 
 2906 , 5391 
 2078 , 5038 
 2339 , 5022 
 3095 , 5018 
 2770 , 4880 
 3084 , 4681 
 2427 , 4648 
 3948 , 4614 
 1614 , 4495 
 2156 , 4426 
 3141 , 4409 
 2685 , 4362 
 3947 , 4202 
 1732 , 4112 
 2384 , 3987 
 1818 , 3855 
 3621 , 3768 
 3762 , 3485 
