"SPECIES: common name","Florida garfish"
"SPECIES: Latin  name","Lepisosteus platyrhincus, Ginglymodi"
"RETINAL CELL TYPE NAME: as published","Type 1 and Type 2"
"OTHER MOSAICS in same sampling field","combined plot"
"PRIMARY CITATION for these mosaics","Collin S.P and Northcutt, R.G. (1993) Brain Behav Evol 42: 295-320"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig. 4D"
"RETINAL LOCATION of sampling field","full retina"
"NUMBER OF CELLS",476
"AREA OF SAMPLED FIELD (sq mm)",36.16
"TOTAL RETINAL AREA (sq mm)",36.16
"UNIT OF X,Y (microns)",1.667
"COMMENTS","Re-digitized from the original authors' printed Figs: see general Excel catalogue for NND, auto- and crosscorrelogram data implying that the mosaics of Fig 9A,B show subsets of a single natural RGC type; NOTE that the scaling of X,Y is non-standard and that relative spatial values (ER and NND) are more exact than absolute values. Absolute values rely on the precision to which the published scale bar could be measured; this probably accounts for a ~1% difference between the authors' mean NNDs and ours." 
"X","Y"
 2387 , 6862 
 1306 , 6848 
 1862 , 6818 
 1654 , 6738 
 1111 , 6734 
 2582 , 6728 
 1989 , 6709 
 2750 , 6673 
 2441 , 6658 
 1317 , 6646 
 1527 , 6636 
 1160 , 6628 
 3375 , 6597 
 2061 , 6581 
 2354 , 6572 
 1227 , 6555 
 3072 , 6551 
 2794 , 6525 
 1546 , 6523 
 1335 , 6517 
 1703 , 6514 
 3532 , 6509 
 2604 , 6497 
 2448 , 6481 
 2897 , 6481 
 3192 , 6477 
 1900 , 6472 
 2083 , 6465 
 2216 , 6441 
 1449 , 6398 
 2213 , 6383 
 2551 , 6349 
 2359 , 6342 
 3044 , 6341 
 3595 , 6335 
 1797 , 6324 
 2095 , 6321 
 1543 , 6320 
 2648 , 6315 
 1962 , 6308 
 3420 , 6302 
 2785 , 6289 
 3325 , 6262 
 1422 , 6248 
 1730 , 6245 
 2228 , 6230 
 2123 , 6218 
 1873 , 6190 
 2429 , 6188 
 1573 , 6181 
 2047 , 6150 
 2634 , 6149 
 3084 , 6146 
 2207 , 6133 
 3486 , 6128 
 1593 , 6126 
 1750 , 6096 
 1988 , 6095 
 3590 , 6091 
 2808 , 6085 
 2071 , 6044 
 3238 , 6042 
 3003 , 6019 
 1803 , 6015 
 2415 , 6007 
 2259 , 5993 
 2573 , 5991 
 2865 , 5979 
 3436 , 5964 
 1913 , 5959 
 2405 , 5958 
 2138 , 5939 
 1606 , 5936 
 961 , 5926 
 1086 , 5895 
 3249 , 5891 
 669 , 5878 
 718 , 5876 
 457 , 5857 
 1006 , 5855 
 3920 , 5832 
 2915 , 5830 
 2356 , 5826 
 2673 , 5825 
 1958 , 5823 
 839 , 5819 
 1705 , 5817 
 2133 , 5811 
 4268 , 5807 
 1156 , 5806 
 3073 , 5787 
 1029 , 5776 
 3921 , 5757 
 3825 , 5752 
 3242 , 5751 
 1240 , 5739 
 4216 , 5737 
 542 , 5732 
 2597 , 5717 
 1809 , 5709 
 2402 , 5705 
 964 , 5700 
 2267 , 5696 
 1618 , 5694 
 2113 , 5677 
 2830 , 5667 
 3584 , 5655 
 1970 , 5650 
 4347 , 5646 
 728 , 5641 
 2979 , 5629 
 2667 , 5613 
 1205 , 5607 
 4016 , 5601 
 3355 , 5588 
 4214 , 5586 
 3782 , 5580 
 2239 , 5580 
 1077 , 5566 
 1845 , 5563 
 833 , 5557 
 2916 , 5555 
 1283 , 5551 
 359 , 5545 
 2346 , 5535 
 1609 , 5525 
 3531 , 5525 
 2152 , 5486 
 1418 , 5470 
 3000 , 5463 
 4157 , 5459 
 3644 , 5459 
 1173 , 5457 
 2760 , 5457 
 681 , 5455 
 4032 , 5452 
 4272 , 5449 
 3125 , 5446 
 1677 , 5444 
 2611 , 5441 
 3793 , 5435 
 1962 , 5433 
 2834 , 5430 
 627 , 5419 
 3366 , 5417 
 415 , 5411 
 985 , 5391 
 2404 , 5380 
 3201 , 5358 
 2473 , 5354 
 531 , 5354 
 2905 , 5345 
 1121 , 5344 
 794 , 5343 
 2154 , 5342 
 4239 , 5338 
 3978 , 5304 
 1981 , 5303 
 2651 , 5303 
 1458 , 5301 
 3677 , 5300 
 3020 , 5296 
 1627 , 5292 
 1796 , 5289 
 274 , 5285 
 1286 , 5282 
 2804 , 5274 
 4429 , 5267 
 3370 , 5257 
 916 , 5256 
 2429 , 5253 
 410 , 5240 
 595 , 5238 
 722 , 5238 
 251 , 5218 
 3173 , 5202 
 4259 , 5189 
 3468 , 5189 
 4111 , 5179 
 1180 , 5178 
 2238 , 5174 
 3822 , 5170 
 1455 , 5170 
 2045 , 5154 
 2800 , 5147 
 1617 , 5141 
 501 , 5140 
 1313 , 5139 
 1015 , 5136 
 2534 , 5133 
 595 , 5124 
 1838 , 5120 
 3589 , 5117 
 762 , 5109 
 3990 , 5101 
 414 , 5093 
 2334 , 5092 
 199 , 5088 
 3002 , 5087 
 4354 , 5082 
 3344 , 5081 
 3190 , 5074 
 1488 , 5072 
 59 , 5061 
 518 , 5033 
 2885 , 5027 
 1212 , 5024 
 3641 , 5004 
 331 , 4995 
 2182 , 4994 
 991 , 4991 
 685 , 4989 
 4071 , 4979 
 1924 , 4974 
 160 , 4972 
 849 , 4961 
 2741 , 4959 
 426 , 4955 
 1567 , 4948 
 3033 , 4947 
 608 , 4944 
 2483 , 4938 
 3775 , 4937 
 4329 , 4936 
 271 , 4932 
 521 , 4932 
 3303 , 4925 
 1306 , 4911 
 356 , 4898 
 1053 , 4897 
 3923 , 4885 
 1725 , 4871 
 670 , 4871 
 2220 , 4869 
 912 , 4865 
 3641 , 4847 
 4500 , 4835 
 2908 , 4818 
 3764 , 4813 
 2119 , 4813 
 791 , 4810 
 4207 , 4802 
 2370 , 4786 
 1308 , 4782 
 3990 , 4777 
 2573 , 4773 
 1456 , 4771 
 1990 , 4751 
 3199 , 4748 
 2763 , 4742 
 3087 , 4741 
 921 , 4735 
 3398 , 4734 
 4371 , 4733 
 3605 , 4733 
 1071 , 4733 
 3761 , 4715 
 617 , 4714 
 1619 , 4712 
 755 , 4697 
 4252 , 4662 
 3910 , 4658 
 4084 , 4655 
 508 , 4650 
 2502 , 4643 
 2217 , 4612 
 1320 , 4586 
 3726 , 4585 
 2837 , 4583 
 3517 , 4579 
 943 , 4565 
 3085 , 4564 
 4401 , 4554 
 3850 , 4553 
 1994 , 4549 
 1526 , 4547 
 3256 , 4544 
 3623 , 4540 
 495 , 4539 
 719 , 4532 
 1160 , 4530 
 2646 , 4527 
 3692 , 4519 
 4125 , 4501 
 617 , 4495 
 3358 , 4493 
 3505 , 4486 
 2361 , 4477 
 3909 , 4459 
 2796 , 4457 
 1707 , 4452 
 3653 , 4435 
 3563 , 4428 
 1581 , 4411 
 444 , 4410 
 3010 , 4397 
 2101 , 4374 
 1352 , 4373 
 573 , 4371 
 928 , 4370 
 3196 , 4367 
 702 , 4367 
 2479 , 4362 
 3384 , 4340 
 1687 , 4336 
 2307 , 4329 
 1186 , 4316 
 3578 , 4310 
 2681 , 4300 
 2062 , 4269 
 587 , 4268 
 1872 , 4265 
 399 , 4265 
 2486 , 4251 
 701 , 4249 
 2889 , 4231 
 3319 , 4229 
 978 , 4220 
 3781 , 4216 
 1470 , 4214 
 831 , 4205 
 3982 , 4197 
 2576 , 4194 
 3117 , 4189 
 2382 , 4167 
 2711 , 4160 
 1299 , 4151 
 2118 , 4148 
 464 , 4129 
 3559 , 4114 
 1936 , 4112 
 3316 , 4096 
 1726 , 4092 
 3146 , 4067 
 576 , 4053 
 2460 , 4053 
 850 , 4053 
 4128 , 4051 
 1138 , 4050 
 2294 , 4044 
 1562 , 4042 
 2780 , 4041 
 3778 , 4040 
 2943 , 4034 
 1272 , 4008 
 2132 , 3999 
 1962 , 3992 
 3282 , 3987 
 1005 , 3986 
 2619 , 3982 
 3182 , 3981 
 1370 , 3954 
 1750 , 3954 
 513 , 3950 
 3461 , 3947 
 2826 , 3935 
 1862 , 3931 
 1115 , 3929 
 3057 , 3924 
 858 , 3916 
 4282 , 3913 
 329 , 3911 
 2465 , 3905 
 639 , 3898 
 1996 , 3888 
 2200 , 3874 
 506 , 3871 
 3866 , 3866 
 1490 , 3859 
 2364 , 3849 
 3262 , 3846 
 1307 , 3841 
 2686 , 3832 
 3488 , 3830 
 725 , 3821 
 974 , 3814 
 413 , 3812 
 3106 , 3808 
 1790 , 3796 
 4055 , 3796 
 2896 , 3790 
 1638 , 3787 
 835 , 3782 
 2180 , 3778 
 1923 , 3776 
 3709 , 3773 
 594 , 3765 
 2445 , 3752 
 3264 , 3729 
 2047 , 3725 
 1204 , 3702 
 1350 , 3695 
 2261 , 3689 
 3478 , 3687 
 760 , 3686 
 1885 , 3681 
 1714 , 3678 
 2663 , 3678 
 3857 , 3669 
 3139 , 3664 
 2326 , 3662 
 655 , 3648 
 2054 , 3647 
 3342 , 3645 
 3665 , 3630 
 1458 , 3625 
 4030 , 3620 
 2498 , 3610 
 2803 , 3610 
 3014 , 3599 
 3475 , 3598 
 1167 , 3559 
 3301 , 3547 
 2018 , 3538 
 3188 , 3536 
 1594 , 3525 
 1819 , 3524 
 1284 , 3515 
 3864 , 3513 
 1069 , 3494 
 2676 , 3484 
 3513 , 3482 
 2465 , 3463 
 3317 , 3463 
 1436 , 3435 
 3667 , 3412 
 2820 , 3400 
 3211 , 3393 
 1164 , 3388 
 1744 , 3382 
 2975 , 3374 
 1011 , 3369 
 1986 , 3368 
 1569 , 3365 
 2622 , 3359 
 1135 , 3341 
 3398 , 3340 
 3516 , 3333 
 1259 , 3326 
 2013 , 3305 
 2470 , 3304 
 1376 , 3295 
 984 , 3289 
 3121 , 3286 
 3000 , 3253 
 2650 , 3250 
 2877 , 3237 
 1036 , 3229 
 1377 , 3224 
 2716 , 3221 
 1203 , 3218 
 1711 , 3214 
 2024 , 3208 
 958 , 3203 
 1841 , 3196 
 3195 , 3194 
 1547 , 3181 
 1080 , 3152 
 2923 , 3148 
 1212 , 3137 
 942 , 3135 
 2783 , 3115 
 3055 , 3104 
 1412 , 3070 
 1048 , 3061 
 956 , 3053 
 1573 , 3049 
 1974 , 3039 
 3139 , 3031 
 2679 , 3026 
 2957 , 3019 
 2805 , 3012 
 1147 , 3003 
 1783 , 2987 
 2912 , 2900 
 2791 , 2881 
