"SPECIES: common name","Red-eared slider turtle"
"SPECIES: Latin  name","Pseudemys scripta elegans"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","all"
"NUMBER OF CELLS",1415
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Digitized from the original cell plots for Fig 6C of Zhang and Eldred (1994) Neurosci 61: 707-718"
"X","Y"
 3588 , 7097 
 3529 , 6899 
 1688 , 6899 
 3574 , 6886 
 1537 , 6852 
 1476 , 6794 
 1636 , 6784 
 3290 , 6743 
 3748 , 6735 
 1828 , 6730 
 1540 , 6730 
 3047 , 6724 
 3164 , 6717 
 1820 , 6713 
 1346 , 6710 
 1886 , 6684 
 3271 , 6661 
 1360 , 6659 
 1409 , 6656 
 3780 , 6643 
 3524 , 6640 
 1368 , 6621 
 1428 , 6610 
 1429 , 6591 
 1720 , 6587 
 1293 , 6582 
 1671 , 6572 
 3252 , 6553 
 1429 , 6546 
 1812 , 6542 
 1246 , 6540 
 3476 , 6534 
 2957 , 6525 
 3778 , 6487 
 2842 , 6487 
 3057 , 6477 
 1779 , 6477 
 1339 , 6476 
 3950 , 6468 
 1134 , 6465 
 1808 , 6457 
 1273 , 6457 
 2891 , 6455 
 1038 , 6446 
 3431 , 6445 
 1632 , 6439 
 1509 , 6425 
 1422 , 6424 
 1552 , 6419 
 3856 , 6416 
 1469 , 6412 
 3010 , 6397 
 3272 , 6396 
 2997 , 6378 
 1810 , 6377 
 943 , 6361 
 3420 , 6359 
 3133 , 6358 
 3207 , 6350 
 3611 , 6350 
 3541 , 6339 
 1069 , 6336 
 1282 , 6317 
 1359 , 6316 
 4004 , 6315 
 3891 , 6313 
 3101 , 6312 
 1526 , 6309 
 921 , 6308 
 3641 , 6294 
 826 , 6290 
 2842 , 6278 
 1185 , 6276 
 3243 , 6263 
 2693 , 6249 
 859 , 6248 
 3225 , 6244 
 3418 , 6233 
 841 , 6233 
 1030 , 6230 
 3021 , 6229 
 783 , 6226 
 2034 , 6226 
 991 , 6225 
 3036 , 6211 
 957 , 6208 
 1844 , 6206 
 1609 , 6196 
 2828 , 6194 
 1005 , 6173 
 1336 , 6170 
 1082 , 6167 
 1886 , 6161 
 3666 , 6158 
 1536 , 6157 
 3370 , 6155 
 2056 , 6146 
 858 , 6122 
 1119 , 6109 
 3091 , 6105 
 2554 , 6101 
 718 , 6098 
 1205 , 6089 
 1877 , 6082 
 2775 , 6079 
 752 , 6076 
 3490 , 6076 
 3817 , 6073 
 3185 , 6070 
 2176 , 6062 
 2653 , 6049 
 1421 , 6044 
 2841 , 6039 
 2809 , 6037 
 3983 , 6036 
 3609 , 6032 
 3059 , 6026 
 1641 , 6025 
 714 , 6025 
 1921 , 6023 
 3636 , 6023 
 1008 , 6017 
 693 , 6003 
 849 , 5998 
 4194 , 5997 
 1599 , 5985 
 2996 , 5984 
 4113 , 5983 
 3153 , 5977 
 1266 , 5974 
 651 , 5973 
 3729 , 5966 
 2830 , 5956 
 1146 , 5955 
 1519 , 5948 
 3357 , 5935 
 784 , 5933 
 2832 , 5931 
 956 , 5927 
 1027 , 5923 
 1083 , 5922 
 3380 , 5918 
 893 , 5908 
 2269 , 5905 
 3097 , 5905 
 2220 , 5900 
 3568 , 5900 
 1795 , 5899 
 650 , 5897 
 2321 , 5878 
 2907 , 5877 
 3765 , 5871 
 3947 , 5871 
 3207 , 5867 
 4041 , 5866 
 4197 , 5863 
 4293 , 5862 
 3598 , 5859 
 1641 , 5857 
 1306 , 5853 
 657 , 5840 
 2192 , 5840 
 1384 , 5833 
 2056 , 5816 
 3650 , 5815 
 1249 , 5808 
 838 , 5808 
 1097 , 5793 
 2576 , 5790 
 896 , 5788 
 3434 , 5788 
 3112 , 5787 
 3072 , 5785 
 4120 , 5785 
 760 , 5781 
 964 , 5779 
 702 , 5779 
 3898 , 5772 
 3007 , 5770 
 2461 , 5769 
 4344 , 5767 
 4080 , 5762 
 3408 , 5752 
 3807 , 5751 
 1993 , 5750 
 1167 , 5744 
 3705 , 5742 
 2159 , 5739 
 1126 , 5737 
 3613 , 5733 
 2574 , 5723 
 1373 , 5710 
 723 , 5709 
 542 , 5704 
 2804 , 5699 
 2897 , 5698 
 2688 , 5695 
 633 , 5691 
 3839 , 5682 
 3236 , 5682 
 1618 , 5681 
 1775 , 5681 
 1304 , 5676 
 1596 , 5673 
 1085 , 5667 
 2394 , 5667 
 3750 , 5657 
 858 , 5657 
 2647 , 5657 
 3183 , 5654 
 2573 , 5652 
 1524 , 5650 
 3342 , 5647 
 2921 , 5644 
 3818 , 5642 
 1050 , 5641 
 1304 , 5639 
 1811 , 5631 
 3537 , 5628 
 1993 , 5626 
 3774 , 5620 
 3396 , 5609 
 3040 , 5609 
 3688 , 5605 
 3424 , 5597 
 2196 , 5596 
 2628 , 5596 
 2739 , 5594 
 3014 , 5586 
 2005 , 5584 
 3542 , 5584 
 2145 , 5582 
 3234 , 5576 
 3860 , 5568 
 837 , 5568 
 1889 , 5567 
 3508 , 5565 
 1127 , 5561 
 1357 , 5556 
 2194 , 5551 
 2335 , 5549 
 522 , 5547 
 3162 , 5547 
 2898 , 5536 
 1023 , 5530 
 1222 , 5529 
 912 , 5528 
 2605 , 5525 
 3684 , 5521 
 2650 , 5509 
 1385 , 5508 
 939 , 5508 
 2855 , 5507 
 896 , 5504 
 763 , 5490 
 3212 , 5486 
 683 , 5485 
 1415 , 5482 
 577 , 5476 
 639 , 5467 
 1627 , 5461 
 3350 , 5457 
 772 , 5456 
 2411 , 5447 
 3053 , 5441 
 1570 , 5441 
 1810 , 5437 
 2934 , 5435 
 3353 , 5418 
 3116 , 5416 
 2906 , 5416 
 600 , 5414 
 1541 , 5414 
 2641 , 5413 
 3290 , 5407 
 492 , 5401 
 1804 , 5387 
 1229 , 5386 
 2602 , 5381 
 644 , 5378 
 509 , 5377 
 3318 , 5376 
 2395 , 5366 
 2628 , 5354 
 1218 , 5350 
 1433 , 5344 
 1443 , 5316 
 2372 , 5308 
 2937 , 5305 
 2666 , 5302 
 1589 , 5298 
 1633 , 5292 
 2442 , 5289 
 3408 , 5261 
 3286 , 5247 
 3086 , 5244 
 2452 , 5241 
 3757 , 5239 
 3538 , 5237 
 3195 , 5236 
 3268 , 5235 
 2835 , 5231 
 3725 , 5226 
 3734 , 5217 
 2924 , 5215 
 2825 , 5212 
 2754 , 5209 
 1195 , 5207 
 4145 , 5205 
 1662 , 5203 
 3910 , 5201 
 2931 , 5199 
 2435 , 5195 
 3353 , 5194 
 1080 , 5192 
 2593 , 5189 
 4246 , 5180 
 4045 , 5177 
 977 , 5175 
 1173 , 5172 
 1416 , 5170 
 3492 , 5165 
 4373 , 5164 
 4419 , 5160 
 3596 , 5160 
 2654 , 5159 
 1575 , 5158 
 4280 , 5155 
 2432 , 5154 
 3760 , 5150 
 2990 , 5150 
 1345 , 5150 
 4069 , 5149 
 2704 , 5146 
 3152 , 5144 
 1001 , 5142 
 4371 , 5137 
 1417 , 5137 
 3008 , 5136 
 1305 , 5136 
 3249 , 5135 
 1151 , 5135 
 3508 , 5135 
 3548 , 5132 
 2267 , 5130 
 2892 , 5126 
 3350 , 5125 
 714 , 5122 
 4243 , 5120 
 2796 , 5119 
 2737 , 5113 
 3038 , 5113 
 3095 , 5111 
 2813 , 5109 
 4277 , 5106 
 1451 , 5106 
 4454 , 5103 
 4039 , 5103 
 1547 , 5103 
 2124 , 5102 
 3984 , 5098 
 2532 , 5097 
 3252 , 5097 
 3830 , 5097 
 2216 , 5094 
 1661 , 5093 
 3028 , 5090 
 710 , 5086 
 4161 , 5084 
 2802 , 5082 
 2243 , 5081 
 2889 , 5081 
 1359 , 5080 
 4206 , 5079 
 3207 , 5077 
 4406 , 5077 
 2570 , 5076 
 1123 , 5073 
 518 , 5071 
 2492 , 5071 
 1201 , 5071 
 3531 , 5069 
 1434 , 5069 
 1246 , 5069 
 1720 , 5062 
 2508 , 5058 
 2381 , 5058 
 2645 , 5057 
 1099 , 5056 
 2574 , 5054 
 663 , 5050 
 2036 , 5046 
 3609 , 5044 
 531 , 5044 
 2637 , 5043 
 3925 , 5043 
 4050 , 5043 
